Instrument;Action;Quantity;Price;Time;ID;E/X;Position;Order ID;Name;Commission;Rate;Account;Connection;
MNQ DEC25;Sell;2;25190,00;12/12/2025 16:54:50;334740359789;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25173,25;12/12/2025 16:54:26;334740359751;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25190,00;12/12/2025 16:54:50;334740359784;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;4;25313,50;15/12/2025 10:40:47;334740359814;Entry;-;;;$ 2,08;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;4;25239,75;15/12/2025 10:59:14;334740359845;Exit;-;;;$ 2,08;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;4;25237,25;16/12/2025 10:02:32;334740359861;Entry;-;;;$ 2,08;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;4;25263,50;16/12/2025 10:07:40;334740359895;Exit;-;;;$ 2,08;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;2;25206,25;16/12/2025 13:59:00;334740359906;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;2;25172,75;16/12/2025 14:03:30;334740359944;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;2;25201,50;16/12/2025 14:01:25;334740359930;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;2;25172,75;16/12/2025 14:03:30;334740359939;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;4;25198,50;16/12/2025 14:03:49;334740359958;Entry;-;;;$ 2,08;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;4;25200,00;16/12/2025 14:12:00;349455080021;Exit;-;;;$ 2,08;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;2;25187,50;16/12/2025 14:06:36;334740359990;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;2;25200,00;16/12/2025 14:12:00;349455080016;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;3;25196,00;16/12/2025 14:22:36;349455080037;Entry;-;;;$ 1,56;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;3;25307,25;16/12/2025 14:42:40;349455080163;Exit;-;;;$ 1,56;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;2;25205,00;16/12/2025 14:27:59;349455080061;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;2;25307,25;16/12/2025 14:42:40;349455080158;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;3;25464,25;17/12/2025 09:59:13;349455080184;Entry;-;;;$ 1,56;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;3;25397,25;17/12/2025 10:30:45;349455080259;Exit;-;;;$ 1,56;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;2;25474,75;17/12/2025 10:01:42;349455080204;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;2;25397,25;17/12/2025 10:30:45;349455080254;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;1;25474,50;17/12/2025 10:03:09;349455080216;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;1;25397,25;17/12/2025 10:30:45;349455080249;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;2;25204,00;17/12/2025 11:36:38;349455080278;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;2;25159,00;17/12/2025 11:42:55;349455080340;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;1;25192,50;17/12/2025 11:39:06;349455080302;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;1;25159,00;17/12/2025 11:42:55;349455080335;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;2;25113,00;17/12/2025 11:46:02;349455080356;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;2;25070,75;17/12/2025 11:52:50;349455080418;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;2;25105,75;17/12/2025 11:47:02;349455080380;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;2;25070,75;17/12/2025 11:52:50;349455080413;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;2;25086,25;17/12/2025 11:54:58;349455080432;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;2;25058,25;17/12/2025 11:55:14;349455080445;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;2;25071,75;17/12/2025 12:00:09;349455080456;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;2;25026,75;17/12/2025 12:14:50;349455080506;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;1;25051,00;17/12/2025 12:01:27;349455080476;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;1;25026,75;17/12/2025 12:14:50;349455080501;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;2;25028,50;17/12/2025 12:16:48;349455080522;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;2;24998,25;17/12/2025 12:50:40;349455080706;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;1;25059,25;17/12/2025 12:22:03;349455080542;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;1;24998,25;17/12/2025 12:50:40;349455080701;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;1;25064,75;17/12/2025 12:24:57;349455080562;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;1;24998,25;17/12/2025 12:50:40;349455080696;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;1;25046,25;17/12/2025 12:31:05;349455080598;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;1;24998,25;17/12/2025 12:50:40;349455080691;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;1;25025,50;17/12/2025 12:38:18;349455080660;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Sell;1;24998,25;17/12/2025 12:50:40;349455080686;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ MAR26;Buy;1;25044,25;17/12/2025 12:46:38;349455080672;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
